"start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,11,10,50,"conv1_7x7_s2","pool2_3x3_s2_pad","conv1_7x7_s2-conv1_relu_7x7-pool1_3x3_s2_pad-pool1_3x3_s2-pool1_norm1-conv2_3x3_reduce-conv2_relu_3x3_reduce-conv2_3x3-conv2_relu_3x3-conv2_norm2-pool2_3x3_s2_pad","Convolution","Padding","Convolution-Elementwise-Padding-Pooling-LocalResponseNormalization-Convolution-Elementwise-Convolution-Elementwise-LocalResponseNormalization-Padding",22602.,22866.833300000002,23766.,"{23766., 23205., 23002., 22858., 22831., 22974., 22602., 22870., 22992., 22901., 22840., 22907., 23009., 22817., 22805., 23008., 23197., 22862., 22897., 22888., 22826., 22846., 22785., 22843., 22778., 22889., 22825., 22770., 22801., 23053., 22702., 22878., 22889., 22951., 22798., 22812., 22988., 22857., 22799., 22885., 22860., 22828., 22762., 22959., 22883., 22849., 22894., 22877., 22878., 22685.}"
12,12,0,50,"pool2_3x3_s2","pool2_3x3_s2","pool2_3x3_s2","Pooling","Pooling","Pooling",1190.,1197.5,1255.,"{1255., 1244., 1191., 1204., 1239., 1190., 1237., 1203., 1191., 1191., 1211., 1192., 1190., 1203., 1190., 1191., 1190., 1206., 1200., 1190., 1204., 1190., 1190., 1205., 1190., 1190., 1198., 1203., 1190., 1190., 1208., 1193., 1193., 1207., 1245., 1240., 1206., 1192., 1193., 1192., 1239., 1193., 1208., 1215., 1194., 1195., 1207., 1193., 1193., 1194.}"
13,13,0,50,"inception_3a/1x1","inception_3a/1x1","inception_3a/1x1","Convolution","Convolution","Convolution",76.,77.8,188.,"{188., 96., 89., 87., 88., 86., 87., 87., 87., 86., 86., 95., 77., 77., 77., 77., 77., 77., 77., 77., 77., 76., 77., 78., 77., 77., 78., 77., 78., 77., 77., 78., 77., 77., 77., 76., 77., 78., 77., 76., 77., 77., 76., 77., 77., 77., 78., 77., 77., 76.}"
14,14,0,50,"inception_3a/relu_1x1","inception_3a/relu_1x1","inception_3a/relu_1x1","Elementwise","Elementwise","Elementwise",36.,36.7,56.,"{56., 41., 38., 37., 37., 37., 37., 37., 37., 36., 36., 36., 37., 36., 36., 36., 37., 37., 36., 36., 37., 37., 36., 37., 36., 36., 37., 37., 37., 36., 36., 37., 37., 36., 37., 37., 37., 36., 37., 36., 36., 37., 37., 37., 36., 37., 37., 36., 46., 37.}"
15,15,0,50,"inception_3a/3x3_reduce","inception_3a/3x3_reduce","inception_3a/3x3_reduce","Convolution","Convolution","Convolution",102.,104.33330000000001,166.,"{166., 109., 105., 104., 104., 103., 103., 118., 104., 103., 103., 104., 104., 103., 103., 103., 102., 111., 103., 102., 103., 102., 103., 102., 102., 102., 102., 103., 103., 102., 103., 102., 103., 102., 103., 102., 102., 103., 102., 130., 116., 114., 115., 128., 117., 115., 114., 115., 128., 103.}"
16,16,0,50,"inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","inception_3a/relu_3x3_reduce","Elementwise","Elementwise","Elementwise",45.,45.900000000000006,66.,"{66., 50., 47., 46., 46., 46., 46., 46., 46., 47., 46., 46., 46., 45., 45., 46., 45., 45., 46., 45., 45., 45., 46., 46., 46., 46., 46., 47., 46., 47., 46., 45., 45., 45., 46., 46., 52., 46., 46., 46., 46., 46., 46., 46., 45., 45., 46., 46., 46., 45.}"
17,17,0,50,"inception_3a/3x3","inception_3a/3x3","inception_3a/3x3","Convolution","Convolution","Convolution",938.,990.7,1133.,"{1133., 1032., 1122., 968., 1004., 981., 1005., 982., 1015., 983., 987., 1033., 1100., 941., 938., 944., 993., 985., 978., 986., 1003., 1034., 1104., 943., 977., 990., 985., 970., 986., 995., 950., 1015., 1096., 939., 943., 966., 1006., 985., 992., 994., 1007., 1062., 1073., 962., 978., 987., 994., 994., 987., 977.}"
18,18,0,50,"inception_3a/relu_3x3","inception_3a/relu_3x3","inception_3a/relu_3x3","Elementwise","Elementwise","Elementwise",53.,54.,77.,"{77., 58., 55., 54., 54., 55., 54., 54., 55., 54., 53., 54., 54., 54., 54., 54., 53., 53., 53., 53., 54., 53., 54., 54., 53., 54., 54., 54., 54., 54., 54., 54., 54., 54., 53., 54., 54., 53., 54., 54., 54., 54., 54., 54., 54., 62., 55., 54., 54., 54.}"
19,19,0,50,"inception_3a/5x5_reduce","inception_3a/5x5_reduce","inception_3a/5x5_reduce","Convolution","Convolution","Convolution",43.,43.566700000000004,112.,"{112., 64., 44., 44., 44., 44., 44., 43., 44., 43., 43., 44., 44., 43., 44., 44., 44., 44., 44., 44., 43., 43., 51., 50., 44., 44., 43., 43., 43., 44., 43., 43., 43., 43., 44., 44., 43., 43., 43., 44., 44., 43., 44., 44., 43., 43., 43., 43., 43., 43.}"
20,20,0,50,"inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","inception_3a/relu_5x5_reduce","Elementwise","Elementwise","Elementwise",29.,29.466700000000003,42.,"{42., 32., 30., 30., 29., 29., 29., 37., 30., 32., 29., 29., 30., 30., 30., 29., 30., 29., 30., 29., 29., 33., 30., 29., 30., 29., 29., 30., 29., 29., 30., 30., 29., 30., 30., 29., 29., 29., 29., 30., 29., 30., 30., 29., 29., 29., 29., 29., 30., 29.}"
