"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,5,"conv1a","2a/res2a_branch1",4,"conv1a-pool1-2a/bn2a_branch2a-2a/res2a_branch2a_relu-2a/res2a_branch1","Convolution","Convolution","Convolution-Pooling-BatchNormalization-Elementwise-Convolution",20114.,20226.7667,36072.,"{36072., 20357., 20212., 20138., 20221., 20136., 20140., 20131., 20129., 20315., 20342., 20313., 20120., 20239., 20208., 20200., 20172., 20204., 20489., 20245., 20244., 20247., 20248., 20255., 20272., 20205., 20224., 20254., 20129., 20287., 20243., 20390., 20502., 20464., 20241., 20213., 20240., 20238., 20200., 20153., 20175., 20123., 20114., 20149., 20248., 20322., 20184., 20186., 20357., 20232.}"
6,6,"2a/res2a_branch2a","2a/res2a_branch2a",0,"2a/res2a_branch2a","Convolution","Convolution","Convolution",19368.,19453.2667,19569.,"{19400., 19497., 19463., 19410., 19410., 19499., 19427., 19428., 19372., 19461., 19555., 19431., 19475., 19435., 19490., 19525., 19460., 19439., 19459., 19467., 19569., 19457., 19491., 19441., 19381., 19375., 19455., 19407., 19449., 19532., 19444., 19504., 19463., 19454., 19432., 19481., 19502., 19470., 19449., 19441., 19451., 19458., 19432., 19472., 19371., 19368., 19432., 19435., 19548., 19474.}"
7,7,"2a/bn2a_branch2b1","2a/bn2a_branch2b1",0,"2a/bn2a_branch2b1","BatchNormalization","BatchNormalization","BatchNormalization",1470.,1506.8333,2046.,"{2046., 1992., 1808., 1612., 1548., 1558., 1512., 1547., 1536., 1522., 1531., 1496., 1505., 1507., 1523., 1520., 1505., 1489., 1528., 1500., 1529., 1522., 1513., 1524., 1488., 1491., 1508., 1509., 1519., 1517., 1501., 1506., 1491., 1504., 1515., 1495., 1492., 1484., 1474., 1492., 1492., 1497., 1492., 1482., 1490., 1471., 1470., 1501., 1497., 1478.}"
8,8,"2a/res2a_branch2b1_relu","2a/res2a_branch2b1_relu",0,"2a/res2a_branch2b1_relu","Elementwise","Elementwise","Elementwise",1401.,1439.0667,1966.,"{1966., 1957., 1729., 1586., 1496., 1489., 1493., 1465., 1493., 1439., 1463., 1473., 1453., 1447., 1460., 1450., 1476., 1441., 1433., 1461., 1424., 1422., 1449., 1431., 1433., 1441., 1426., 1412., 1429., 1429., 1434., 1435., 1410., 1437., 1414., 1418., 1455., 1416., 1429., 1427., 1408., 1415., 1445., 1428., 1434., 1422., 1405., 1430., 1405., 1401.}"
9,9,"2a/res2a_branch2b1","2a/res2a_branch2b1",0,"2a/res2a_branch2b1","Convolution","Convolution","Convolution",38628.,38810.8,57534.,"{57534., 38936., 39008., 38820., 38804., 38733., 38808., 38683., 38698., 38847., 38823., 39060., 38777., 38899., 38776., 38893., 38687., 38797., 38881., 38916., 38737., 38943., 38816., 38631., 38779., 38628., 38775., 38818., 38838., 38843., 38802., 38741., 38822., 38661., 38747., 38931., 38883., 38856., 38957., 38773., 38861., 38721., 38656., 38782., 38785., 38941., 38749., 38802., 38750., 38876.}"
10,14,"2a/_plus2a","2b1/bn2b1_branch2b1",4,"2a/_plus2a-2b1/bn2b1_branch2a-2b1/res2b1_branch2a_relu-2b1/res2b1_branch2a-2b1/bn2b1_branch2b1","Threading","BatchNormalization","Threading-BatchNormalization-Elementwise-Convolution-BatchNormalization",47031.,47243.4,65833.,"{65833., 47179., 47133., 47426., 47358., 47276., 47303., 47335., 47142., 47161., 47355., 47261., 47210., 47304., 47332., 47219., 47309., 47227., 47349., 47181., 47125., 47282., 49311., 47216., 47108., 47231., 47361., 47144., 47031., 47331., 47182., 47215., 47067., 47180., 47241., 47219., 47331., 47252., 47370., 47193., 47300., 47312., 47258., 47162., 47218., 47185., 47073., 47190., 47242., 47255.}"
15,15,"2b1/res2b1_branch2b1_relu","2b1/res2b1_branch2b1_relu",0,"2b1/res2b1_branch2b1_relu","Elementwise","Elementwise","Elementwise",1385.,1412.3667,1884.,"{1884., 1832., 1685., 1507., 1446., 1459., 1425., 1420., 1460., 1418., 1428., 1421., 1421., 1435., 1410., 1418., 1421., 1406., 1399., 1419., 1395., 1398., 1422., 1402., 1413., 1411., 1407., 1414., 1398., 1408., 1409., 1388., 1411., 1406., 1385., 1393., 1417., 1404., 1413., 1413., 1397., 1396., 1419., 1421., 1406., 1389., 1405., 1418., 1399., 1389.}"
16,16,"2b1/res2b1_branch2b1","2b1/res2b1_branch2b1",0,"2b1/res2b1_branch2b1","Convolution","Convolution","Convolution",38331.,38652.6667,38857.,"{38331., 38653., 38583., 38679., 38744., 38671., 38565., 38688., 38556., 38645., 38575., 38691., 38857., 38651., 38610., 38649., 38734., 38541., 38753., 38621., 38634., 38739., 38687., 38731., 38718., 38525., 38690., 38631., 38731., 38741., 38593., 38648., 38541., 38612., 38672., 38624., 38705., 38728., 38680., 38645., 38496., 38637., 38581., 38840., 38710., 38627., 38572., 38556., 38685., 38660.}"
17,21,"2b1/_plus2b1","2b2/bn2b2_branch2b1",4,"2b1/_plus2b1-2b2/bn2b2_branch2a-2b2/res2b2_branch2a_relu-2b2/res2b2_branch2a-2b2/bn2b2_branch2b1","Threading","BatchNormalization","Threading-BatchNormalization-Elementwise-Convolution-BatchNormalization",46981.,47137.600000000006,47830.,"{47830., 47181., 47290., 47136., 47135., 47021., 47238., 47382., 47199., 47113., 47057., 47149., 47187., 47065., 47194., 47237., 47030., 47015., 47114., 47353., 46981., 47134., 47226., 47076., 47048., 47173., 47059., 47168., 47305., 47103., 47132., 47143., 47302., 47154., 47092., 47091., 47349., 47098., 47096., 47208., 47147., 47160., 47084., 47167., 47033., 47052., 47184., 47125., 47028., 47120.}"
22,22,"2b2/res2b2_branch2b1_relu","2b2/res2b2_branch2b1_relu",0,"2b2/res2b2_branch2b1_relu","Elementwise","Elementwise","Elementwise",1434.,1465.4333000000001,2018.,"{2018., 1992., 1759., 1593., 1540., 1536., 1505., 1504., 1492., 1481., 1474., 1515., 1479., 1484., 1470., 1460., 1474., 1481., 1455., 1473., 1457., 1448., 1460., 1458., 1477., 1449., 1460., 1473., 1453., 1461., 1467., 1463., 1483., 1453., 1450., 1459., 1445., 1437., 1477., 1445., 1437., 1463., 1439., 1455., 1448., 1436., 1452., 1435., 1434., 1462.}"
