"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,6,"conv1","fire2/expand1x1",5,"conv1-relu_conv1-pool1-fire2/squeeze1x1-fire2/relu_squeeze1x1-fire2/expand1x1","Convolution","Convolution","Convolution-Elementwise-Pooling-Convolution-Elementwise-Convolution",2894.,3155.9333,6569.,"{6569., 6239., 6013., 5938., 5983., 6011., 5974., 5960., 5944., 5997., 5999., 5979., 2986., 3028., 2917., 2916., 2920., 2910., 2921., 2941., 3000., 2935., 2908., 2979., 2923., 2913., 2954., 2894., 2923., 2924., 3083., 2970., 2951., 2962., 2920., 2906., 3001., 2958., 2936., 2904., 3021., 2918., 2915., 2916., 2927., 2930., 2945., 3001., 2922., 2907.}"
7,7,"fire2/relu_expand1x1","fire2/relu_expand1x1",0,"fire2/relu_expand1x1","Elementwise","Elementwise","Elementwise",97.,98.36670000000001,121.,"{121., 101., 100., 100., 113., 99., 98., 98., 99., 99., 98., 98., 99., 98., 97., 98., 98., 98., 99., 98., 98., 99., 97., 99., 98., 98., 98., 97., 99., 98., 99., 99., 100., 97., 97., 99., 98., 98., 97., 99., 110., 99., 98., 98., 97., 99., 98., 98., 98., 97.}"
8,8,"fire2/expand3x3","fire2/expand3x3",0,"fire2/expand3x3","Convolution","Convolution","Convolution",536.,542.8333,638.,"{637., 555., 542., 541., 557., 543., 540., 539., 538., 539., 539., 638., 625., 540., 539., 539., 537., 537., 551., 549., 538., 538., 538., 537., 536., 537., 551., 538., 577., 605., 600., 540., 538., 557., 541., 541., 542., 540., 540., 551., 555., 540., 539., 538., 538., 539., 603., 633., 572., 539.}"
9,9,"fire2/relu_expand3x3","fire2/relu_expand3x3",0,"fire2/relu_expand3x3","Elementwise","Elementwise","Elementwise",98.,100.10000000000001,117.,"{117., 103., 100., 99., 100., 100., 100., 100., 101., 100., 98., 101., 100., 100., 98., 99., 100., 100., 111., 99., 99., 100., 99., 99., 100., 99., 98., 98., 98., 99., 99., 99., 100., 111., 103., 102., 101., 101., 102., 101., 101., 101., 101., 100., 100., 100., 100., 103., 102., 101.}"
10,10,"fire2/concat","fire2/concat",0,"fire2/concat","Catenate","Catenate","Catenate",156.,157.0333,174.,"{174., 159., 157., 158., 157., 157., 157., 157., 169., 158., 157., 157., 157., 156., 157., 157., 157., 157., 157., 157., 157., 157., 158., 157., 158., 157., 157., 156., 157., 157., 156., 157., 168., 158., 157., 156., 157., 156., 157., 156., 157., 157., 157., 156., 157., 156., 166., 159., 157., 157.}"
11,11,"fire3/squeeze1x1","fire3/squeeze1x1",0,"fire3/squeeze1x1","Convolution","Convolution","Convolution",74.,77.8,145.,"{145., 83., 78., 76., 87., 93., 86., 85., 86., 85., 84., 85., 84., 84., 85., 96., 88., 75., 77., 80., 76., 76., 75., 75., 75., 76., 75., 76., 75., 75., 74., 75., 90., 77., 77., 76., 75., 76., 76., 76., 76., 75., 77., 76., 75., 74., 75., 77., 74., 74.}"
12,12,"fire3/relu_squeeze1x1","fire3/relu_squeeze1x1",0,"fire3/relu_squeeze1x1","Elementwise","Elementwise","Elementwise",40.,40.5,60.,"{60., 45., 42., 41., 41., 41., 41., 41., 41., 40., 40., 40., 40., 41., 40., 41., 41., 41., 41., 40., 40., 40., 41., 40., 41., 40., 40., 40., 40., 41., 40., 41., 40., 41., 40., 40., 40., 41., 40., 40., 40., 41., 41., 40., 40., 40., 40., 41., 41., 41.}"
13,13,"fire3/expand1x1","fire3/expand1x1",0,"fire3/expand1x1","Convolution","Convolution","Convolution",135.,137.0667,184.,"{184., 141., 138., 138., 137., 138., 138., 136., 136., 137., 138., 136., 137., 137., 136., 135., 136., 144., 138., 136., 137., 136., 137., 137., 136., 136., 137., 137., 136., 157., 142., 137., 138., 137., 138., 138., 141., 138., 136., 136., 136., 138., 136., 137., 145., 137., 137., 137., 137., 136.}"
14,14,"fire3/relu_expand1x1","fire3/relu_expand1x1",0,"fire3/relu_expand1x1","Elementwise","Elementwise","Elementwise",100.,102.03330000000001,120.,"{120., 105., 103., 101., 103., 104., 100., 103., 104., 101., 115., 103., 103., 100., 101., 103., 101., 100., 101., 100., 100., 103., 102., 100., 101., 103., 103., 101., 102., 103., 101., 101., 101., 101., 100., 102., 104., 102., 104., 102., 100., 102., 103., 103., 101., 104., 112., 104., 102., 101.}"
15,15,"fire3/expand3x3","fire3/expand3x3",0,"fire3/expand3x3","Convolution","Convolution","Convolution",539.,547.2667,631.,"{627., 552., 545., 545., 546., 562., 545., 543., 631., 622., 542., 541., 557., 543., 561., 544., 541., 541., 541., 556., 541., 541., 541., 540., 542., 576., 625., 588., 542., 545., 541., 540., 539., 557., 541., 541., 540., 577., 547., 543., 556., 542., 544., 607., 607., 564., 542., 560., 547., 546.}"
16,16,"fire3/relu_expand3x3","fire3/relu_expand3x3",0,"fire3/relu_expand3x3","Elementwise","Elementwise","Elementwise",98.,99.1333,116.,"{116., 102., 100., 99., 99., 100., 100., 99., 99., 99., 99., 99., 99., 99., 98., 98., 99., 99., 99., 99., 99., 99., 99., 98., 107., 99., 100., 99., 110., 100., 99., 99., 100., 99., 99., 100., 99., 99., 100., 99., 99., 99., 99., 100., 99., 99., 99., 100., 98., 98.}"
17,22,"fire3/concat","fire4/expand1x1",5,"fire3/concat-pool3_pad-pool3-fire4/squeeze1x1-fire4/relu_squeeze1x1-fire4/expand1x1","Catenate","Convolution","Catenate-Padding-Pooling-Convolution-Elementwise-Convolution",1515.,1536.1667,1640.,"{1640., 1633., 1529., 1517., 1532., 1517., 1535., 1556., 1579., 1533., 1519., 1524., 1518., 1517., 1603., 1527., 1518., 1566., 1522., 1533., 1546., 1587., 1538., 1521., 1542., 1516., 1519., 1619., 1523., 1535., 1515., 1517., 1538., 1568., 1560., 1532., 1517., 1539., 1520., 1549., 1599., 1516., 1544., 1554., 1523., 1529., 1574., 1553., 1558., 1552.}"
23,23,"fire4/relu_expand1x1","fire4/relu_expand1x1",0,"fire4/relu_expand1x1","Elementwise","Elementwise","Elementwise",56.,57.,84.,"{84., 74., 60., 60., 59., 58., 58., 57., 57., 57., 57., 57., 57., 58., 57., 57., 57., 57., 58., 57., 56., 57., 57., 57., 57., 57., 57., 57., 57., 57., 56., 57., 57., 57., 56., 57., 57., 57., 57., 57., 57., 57., 57., 57., 57., 57., 57., 57., 57., 57.}"
