"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,6,"ReLUConv1/1","PrimaryCaps/4/1",5,"ReLUConv1/1-ReLUConv1/2-PrimaryCaps/1-PrimaryCaps/2-PrimaryCaps/3-PrimaryCaps/4/1","Convolution","Elementwise","Convolution-Elementwise-Convolution-Transpose-Reshape-Elementwise",2277.,2331.5333,2697.,"{2697., 2500., 2363., 2468., 2318., 2288., 2300., 2387., 2375., 2304., 2277., 2301., 2430., 2299., 2313., 2297., 2463., 2299., 2314., 2329., 2443., 2321., 2295., 2330., 2397., 2364., 2308., 2347., 2338., 2402., 2298., 2316., 2278., 2496., 2307., 2308., 2313., 2450., 2307., 2293., 2350., 2425., 2329., 2319., 2288., 2364., 2417., 2298., 2324., 2292.}"
7,7,"PrimaryCaps/4/2","PrimaryCaps/4/2",0,"PrimaryCaps/4/2","Aggregation","Aggregation","Aggregation",213.,214.16670000000002,229.,"{229., 217., 215., 214., 215., 214., 215., 214., 214., 214., 215., 214., 214., 214., 214., 215., 214., 215., 213., 214., 214., 214., 214., 214., 222., 214., 214., 214., 214., 215., 214., 214., 213., 214., 215., 215., 214., 214., 214., 214., 215., 214., 214., 214., 214., 215., 214., 214., 215., 214.}"
8,8,"PrimaryCaps/4/3","PrimaryCaps/4/3",0,"PrimaryCaps/4/3","Elementwise","Elementwise","Elementwise",46.,46.2,68.,"{68., 50., 47., 47., 47., 46., 46., 46., 47., 46., 46., 46., 46., 47., 46., 46., 46., 46., 47., 59., 47., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 47., 46., 46., 46., 47., 46., 46., 47., 46., 47., 46., 46., 46., 47., 46., 46., 47., 46., 46.}"
9,9,"PrimaryCaps/4/4","PrimaryCaps/4/4",0,"PrimaryCaps/4/4","Replicate","Replicate","Replicate",296.,296.6333,313.,"{313., 299., 297., 297., 297., 297., 296., 297., 297., 310., 298., 297., 297., 297., 297., 296., 297., 297., 296., 296., 296., 296., 296., 297., 296., 296., 296., 296., 303., 297., 296., 297., 297., 296., 296., 296., 308., 297., 297., 296., 297., 297., 297., 296., 296., 297., 296., 296., 296., 307.}"
10,10,"PrimaryCaps/4/5","PrimaryCaps/4/5",0,"PrimaryCaps/4/5","Threading","Threading","Threading",25.,25.8667,44.,"{44., 28., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 25., 25., 26., 25., 26., 26., 26., 26., 26., 25., 26., 26., 26., 26., 25., 25., 25., 25., 25., 25., 26., 26., 25., 25., 25., 26., 26.}"
11,11,"PrimaryPredVects/2","PrimaryPredVects/2",0,"PrimaryPredVects/2","ConstantArray","ConstantArray","ConstantArray",14834.,14862.633300000001,14958.,"{14949., 14896., 14869., 14870., 14903., 14865., 14870., 14856., 14853., 14843., 14869., 14866., 14865., 14871., 14867., 14856., 14857., 14867., 14855., 14851., 14850., 14902., 14881., 14874., 14867., 14873., 14840., 14854., 14848., 14855., 14853., 14870., 14868., 14886., 14856., 14865., 14859., 14849., 14958., 14923., 14876., 14859., 14865., 14865., 14844., 14843., 14840., 14863., 14834., 14849.}"
12,12,"PrimaryPredVects/1","PrimaryPredVects/1",0,"PrimaryPredVects/1","Replicate","Replicate","Replicate",44698.,44719.9,44801.,"{44745., 44730., 44732., 44726., 44734., 44722., 44733., 44724., 44731., 44727., 44735., 44719., 44727., 44721., 44728., 44724., 44732., 44717., 44725., 44702., 44713., 44707., 44708., 44700., 44711., 44706., 44706., 44706., 44707., 44708., 44706., 44707., 44716., 44715., 44708., 44701., 44698., 44708., 44801., 44734., 44723., 44724., 44736., 44721., 44722., 44725., 44722., 44725., 44732., 44720.}"
13,13,"PrimaryPredVects/3","PrimaryPredVects/3",0,"PrimaryPredVects/3","Threading","Threading","Threading",741.,750.5333,1207.,"{1207., 1190., 975., 782., 758., 755., 753., 762., 750., 752., 754., 751., 748., 755., 747., 755., 750., 746., 756., 752., 746., 744., 744., 757., 749., 747., 751., 745., 764., 744., 751., 748., 745., 750., 756., 742., 746., 745., 748., 754., 749., 755., 748., 749., 757., 747., 747., 741., 743., 753.}"
14,14,"PrimaryPredVects/4","PrimaryPredVects/4",0,"PrimaryPredVects/4","Aggregation","Aggregation","Aggregation",29794.,29905.2667,30039.,"{29986., 29961., 29891., 29933., 29950., 29898., 29898., 29917., 29938., 29870., 29831., 29794., 30024., 29840., 29893., 30039., 29834., 29868., 29901., 29992., 29958., 29982., 29876., 29950., 29859., 29847., 29890., 29898., 29936., 29879., 29861., 29913., 29899., 29909., 29938., 29894., 29902., 29919., 29909., 29919., 29926., 29909., 29905., 29912., 29898., 29857., 29900., 29888., 29861., 29960.}"
15,15,"DynamicRouting/1","DynamicRouting/1",0,"DynamicRouting/1","Replicate","Replicate","Replicate",10674.,10695.4,10723.,"{10723., 10685., 10700., 10700., 10694., 10699., 10698., 10694., 10689., 10698., 10698., 10690., 10699., 10703., 10689., 10699., 10697., 10688., 10700., 10697., 10688., 10700., 10699., 10690., 10699., 10698., 10689., 10705., 10699., 10689., 10700., 10674., 10689., 10700., 10700., 10688., 10699., 10697., 10690., 10698., 10700., 10707., 10685., 10694., 10692., 10685., 10692., 10693., 10684., 10692.}"
16,16,"DynamicRouting/2/Net/capsule/c/1","DynamicRouting/2/Net/capsule/c/1",0,"DynamicRouting/2/Net/capsule/c/1","Reshape","Reshape","Reshape",24.,24.666700000000002,45.,"{45., 28., 26., 25., 25., 25., 25., 25., 25., 25., 25., 25., 24., 25., 25., 24., 24., 24., 25., 25., 25., 24., 24., 24., 24., 25., 25., 24., 25., 24., 24., 25., 25., 24., 24., 25., 25., 24., 24., 25., 25., 24., 24., 24., 25., 25., 25., 24., 24., 25.}"
17,17,"DynamicRouting/2/Net/capsule/c/2","DynamicRouting/2/Net/capsule/c/2",0,"DynamicRouting/2/Net/capsule/c/2","Softmax","Softmax","Softmax",226.,226.4667,239.,"{239., 229., 228., 228., 227., 226., 227., 227., 227., 239., 227., 227., 226., 226., 226., 227., 226., 227., 226., 226., 227., 226., 226., 227., 226., 226., 236., 227., 226., 226., 226., 226., 227., 226., 226., 227., 226., 226., 226., 226., 226., 226., 235., 235., 227., 226., 226., 226., 227., 227.}"
18,18,"DynamicRouting/2/Net/capsule/s/1","DynamicRouting/2/Net/capsule/s/1",0,"DynamicRouting/2/Net/capsule/s/1","Replicate","Replicate","Replicate",5383.,5403.8333,5435.,"{5435., 5404., 5406., 5409., 5408., 5400., 5411., 5405., 5398., 5411., 5399., 5383., 5399., 5409., 5404., 5404., 5397., 5410., 5405., 5398., 5411., 5398., 5405., 5404., 5409., 5399., 5410., 5398., 5410., 5398., 5403., 5410., 5398., 5404., 5404., 5405., 5397., 5411., 5398., 5404., 5404., 5404., 5404., 5404., 5404., 5405., 5404., 5399., 5411., 5397.}"
19,24,"DynamicRouting/2/Net/capsule/s/2","DynamicRouting/2/Net/capsule/v/4",5,"DynamicRouting/2/Net/capsule/s/2-DynamicRouting/2/Net/capsule/s/3-DynamicRouting/2/Net/capsule/v/1-DynamicRouting/2/Net/capsule/v/2-DynamicRouting/2/Net/capsule/v/3-DynamicRouting/2/Net/capsule/v/4","Threading","Replicate","Threading-Aggregation-Elementwise-Aggregation-Elementwise-Replicate",3585.,3610.1333,3661.,"{3661., 3618., 3615., 3603., 3603., 3604., 3609., 3605., 3622., 3607., 3616., 3606., 3611., 3618., 3612., 3601., 3602., 3610., 3605., 3618., 3611., 3615., 3611., 3609., 3614., 3604., 3593., 3618., 3612., 3611., 3621., 3610., 3615., 3602., 3610., 3617., 3604., 3590., 3619., 3610., 3608., 3618., 3604., 3607., 3619., 3607., 3611., 3585., 3603., 3620.}"
25,25,"DynamicRouting/2/Net/capsule/v/5","DynamicRouting/2/Net/capsule/v/5",0,"DynamicRouting/2/Net/capsule/v/5","Threading","Threading","Threading",23.,24.,40.,"{40., 27., 25., 25., 25., 24., 24., 25., 24., 24., 24., 25., 24., 24., 24., 25., 24., 24., 24., 24., 25., 24., 24., 24., 24., 24., 24., 24., 24., 24., 24., 24., 24., 24., 23., 24., 24., 24., 24., 24., 24., 25., 24., 24., 24., 24., 24., 24., 23., 24.}"
26,26,"DynamicRouting/2/Net/dots/1","DynamicRouting/2/Net/dots/1",0,"DynamicRouting/2/Net/dots/1","Replicate","Replicate","Replicate",5372.,5397.666700000001,5413.,"{5413., 5395., 5406., 5403., 5392., 5405., 5394., 5397., 5399., 5398., 5400., 5397., 5372., 5405., 5398., 5392., 5406., 5395., 5396., 5399., 5399., 5390., 5410., 5390., 5399., 5401., 5399., 5374., 5390., 5400., 5400., 5398., 5390., 5406., 5394., 5396., 5402., 5396., 5393., 5405., 5402., 5390., 5404., 5393., 5396., 5399., 5399., 5400., 5396., 5393.}"
27,27,"DynamicRouting/2/Net/dots/2","DynamicRouting/2/Net/dots/2",0,"DynamicRouting/2/Net/dots/2","Threading","Threading","Threading",117.,118.5,137.,"{137., 122., 119., 119., 119., 119., 119., 119., 119., 119., 118., 118., 118., 118., 119., 118., 118., 118., 118., 118., 129., 119., 119., 118., 118., 118., 118., 119., 117., 118., 118., 118., 127., 118., 118., 118., 118., 118., 119., 119., 118., 119., 120., 119., 118., 118., 119., 119., 119., 119.}"
28,28,"DynamicRouting/2/Net/dots/3","DynamicRouting/2/Net/dots/3",0,"DynamicRouting/2/Net/dots/3","Aggregation","Aggregation","Aggregation",3549.,3565.6000000000004,3601.,"{3601., 3566., 3563., 3572., 3567., 3564., 3561., 3565., 3560., 3571., 3562., 3572., 3568., 3567., 3578., 3566., 3553., 3569., 3563., 3560., 3572., 3569., 3560., 3574., 3562., 3557., 3564., 3560., 3572., 3559., 3563., 3569., 3565., 3560., 3586., 3564., 3561., 3574., 3568., 3569., 3567., 3559., 3572., 3562., 3549., 3572., 3560., 3564., 3576., 3565.}"
