"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,1,"ReLUConv1/1","ReLUConv1/1",0,"ReLUConv1/1","Convolution","Convolution","Convolution",151.,153.8,216.,"{216., 159., 156., 171., 155., 154., 153., 153., 154., 153., 155., 152., 153., 152., 154., 153., 153., 153., 153., 153., 154., 154., 157., 152., 152., 152., 152., 164., 154., 153., 154., 153., 153., 152., 154., 151., 153., 153., 152., 153., 152., 178., 170., 168., 169., 168., 169., 186., 152., 153.}"
2,2,"ReLUConv1/2","ReLUConv1/2",0,"ReLUConv1/2","Elementwise","Elementwise","Elementwise",57.,58.2333,82.,"{82., 62., 59., 59., 59., 59., 59., 58., 58., 58., 58., 58., 58., 70., 59., 59., 58., 59., 58., 58., 59., 59., 58., 59., 58., 57., 58., 57., 58., 58., 58., 58., 58., 58., 58., 59., 59., 58., 58., 58., 58., 58., 57., 58., 58., 58., 59., 58., 58., 58.}"
3,3,"PrimaryCaps/1","PrimaryCaps/1",0,"PrimaryCaps/1","Convolution","Convolution","Convolution",2017.,2061.3333000000002,2203.,"{2163., 2186., 2034., 2052., 2047., 2135., 2112., 2057., 2037., 2060., 2170., 2056., 2042., 2062., 2045., 2175., 2029., 2038., 2053., 2031., 2203., 2033., 2031., 2033., 2102., 2099., 2046., 2017., 2047., 2129., 2073., 2027., 2069., 2045., 2197., 2021., 2080., 2031., 2060., 2173., 2036., 2042., 2021., 2087., 2131., 2055., 2037., 2045., 2105., 2117.}"
4,4,"PrimaryCaps/2","PrimaryCaps/2",0,"PrimaryCaps/2","Transpose","Transpose","Transpose",104.,105.6333,120.,"{119., 108., 106., 106., 105., 106., 105., 105., 105., 106., 106., 106., 106., 106., 106., 106., 120., 106., 105., 106., 106., 105., 105., 105., 105., 105., 105., 105., 105., 105., 105., 105., 105., 104., 105., 105., 112., 105., 106., 106., 106., 106., 106., 106., 106., 106., 106., 106., 106., 106.}"
5,5,"PrimaryCaps/3","PrimaryCaps/3",0,"PrimaryCaps/3","Reshape","Reshape","Reshape",25.,26.,51.,"{51., 29., 34., 27., 26., 26., 26., 26., 26., 26., 26., 27., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 26., 27., 26., 26., 25., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 36.}"
6,6,"PrimaryCaps/4/1","PrimaryCaps/4/1",0,"PrimaryCaps/4/1","Elementwise","Elementwise","Elementwise",26.,26.2333,46.,"{46., 29., 27., 27., 26., 26., 26., 26., 27., 26., 26., 26., 26., 26., 27., 26., 27., 26., 26., 27., 26., 26., 26., 26., 27., 26., 26., 27., 27., 27., 26., 26., 27., 26., 26., 26., 27., 26., 26., 26., 26., 26., 27., 26., 26., 26., 26., 26., 38., 28.}"
7,7,"PrimaryCaps/4/2","PrimaryCaps/4/2",0,"PrimaryCaps/4/2","Aggregation","Aggregation","Aggregation",215.,216.13330000000002,249.,"{230., 228., 218., 216., 217., 216., 216., 216., 249., 230., 216., 217., 216., 215., 216., 217., 216., 216., 216., 215., 216., 216., 216., 216., 216., 215., 227., 216., 216., 216., 216., 216., 215., 215., 216., 237., 217., 216., 216., 216., 215., 215., 216., 217., 229., 222., 216., 216., 216., 215.}"
8,8,"PrimaryCaps/4/3","PrimaryCaps/4/3",0,"PrimaryCaps/4/3","Elementwise","Elementwise","Elementwise",47.,47.4667,68.,"{68., 50., 48., 48., 48., 48., 47., 48., 48., 47., 48., 48., 48., 48., 47., 61., 48., 48., 48., 48., 48., 48., 47., 47., 47., 47., 47., 48., 47., 47., 47., 47., 48., 47., 48., 47., 47., 47., 47., 47., 47., 47., 47., 47., 48., 47., 47., 48., 47., 47.}"
9,9,"PrimaryCaps/4/4","PrimaryCaps/4/4",0,"PrimaryCaps/4/4","Replicate","Replicate","Replicate",296.,296.5333,311.,"{310., 311., 298., 297., 297., 296., 296., 296., 296., 296., 296., 297., 296., 296., 304., 304., 297., 296., 296., 297., 296., 297., 296., 297., 296., 296., 297., 296., 307., 297., 297., 296., 296., 297., 297., 301., 299., 297., 296., 296., 296., 306., 297., 296., 297., 296., 296., 296., 302., 297.}"
10,10,"PrimaryCaps/4/5","PrimaryCaps/4/5",0,"PrimaryCaps/4/5","Threading","Threading","Threading",25.,25.8667,45.,"{45., 29., 26., 26., 25., 26., 26., 26., 26., 25., 25., 26., 26., 26., 26., 26., 26., 25., 25., 26., 26., 26., 26., 39., 26., 25., 26., 26., 25., 25., 25., 31., 26., 25., 25., 25., 26., 26., 25., 25., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26.}"
11,11,"PrimaryPredVects/2","PrimaryPredVects/2",0,"PrimaryPredVects/2","ConstantArray","ConstantArray","ConstantArray",14870.,14894.9333,15168.,"{14979., 14944., 14911., 14912., 14891., 14905., 14890., 14879., 14897., 15168., 14947., 14912., 14908., 14894., 14913., 14922., 14946., 14912., 14890., 14891., 14893., 14900., 14880., 14907., 14903., 14900., 14899., 14886., 14871., 14896., 14881., 14890., 14886., 14881., 14890., 14891., 14897., 14877., 14885., 14903., 14888., 14888., 14896., 14879., 14870., 14902., 14884., 14878., 14887., 14882.}"
12,12,"PrimaryPredVects/1","PrimaryPredVects/1",0,"PrimaryPredVects/1","Replicate","Replicate","Replicate",44683.,44712.1,45160.,"{44753., 44729., 44736., 44725., 44721., 44732., 44720., 44740., 44721., 44718., 44719., 44728., 44708., 44746., 44717., 44688., 44736., 44715., 44707., 44709., 44683., 44685., 44702., 44698., 44708., 44702., 44708., 44709., 44711., 44701., 44714., 44708., 44705., 44689., 44684., 44710., 44709., 44698., 44707., 44686., 44700., 44720., 44701., 44736., 44701., 45160., 44842., 44711., 44716., 44713.}"
13,13,"PrimaryPredVects/3","PrimaryPredVects/3",0,"PrimaryPredVects/3","Threading","Threading","Threading",737.,748.4333,1275.,"{1275., 1210., 969., 786., 761., 765., 752., 749., 745., 749., 760., 743., 742., 744., 749., 758., 746., 742., 757., 751., 765., 744., 748., 746., 745., 737., 746., 742., 740., 739., 741., 763., 739., 745., 745., 742., 757., 748., 744., 742., 741., 787., 756., 750., 755., 747., 746., 764., 744., 742.}"
14,14,"PrimaryPredVects/4","PrimaryPredVects/4",0,"PrimaryPredVects/4","Aggregation","Aggregation","Aggregation",29763.,29847.4333,30007.,"{29862., 29815., 29869., 29813., 29763., 29822., 29810., 29870., 29796., 29851., 29787., 29795., 29809., 29860., 29816., 29842., 29845., 29877., 29838., 29854., 29865., 29816., 29865., 29827., 29834., 29834., 29784., 29778., 29802., 29842., 29976., 29914., 29967., 29827., 29964., 30007., 29816., 29909., 29895., 29895., 29827., 29850., 29846., 29862., 29928., 29990., 29858., 29909., 29876., 29862.}"
15,15,"DynamicRouting/1","DynamicRouting/1",0,"DynamicRouting/1","Replicate","Replicate","Replicate",10642.,10673.8667,10688.,"{10671., 10673., 10669., 10688., 10651., 10672., 10675., 10661., 10642., 10676., 10679., 10669., 10675., 10668., 10667., 10675., 10679., 10668., 10681., 10681., 10667., 10674., 10687., 10669., 10676., 10678., 10669., 10681., 10677., 10668., 10674., 10685., 10667., 10673., 10680., 10675., 10678., 10673., 10677., 10651., 10673., 10679., 10679., 10682., 10674., 10666., 10677., 10672., 10666., 10678.}"
16,16,"DynamicRouting/2/Net/capsule/c/1","DynamicRouting/2/Net/capsule/c/1",0,"DynamicRouting/2/Net/capsule/c/1","Reshape","Reshape","Reshape",27.,27.166700000000002,37.,"{37., 30., 28., 28., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 27., 27., 28., 27., 27., 28., 27., 27., 27., 27., 27., 27., 27., 27., 27., 28., 28., 27., 28., 27., 28., 27., 27., 27., 28., 27., 27., 27., 28., 27., 27., 28., 27., 27., 27., 28.}"
17,17,"DynamicRouting/2/Net/capsule/c/2","DynamicRouting/2/Net/capsule/c/2",0,"DynamicRouting/2/Net/capsule/c/2","Softmax","Softmax","Softmax",223.,224.0333,239.,"{235., 226., 225., 224., 223., 224., 224., 224., 224., 225., 235., 224., 224., 224., 224., 224., 223., 225., 224., 224., 223., 223., 224., 224., 224., 224., 224., 239., 238., 225., 223., 223., 224., 224., 224., 224., 224., 224., 224., 223., 224., 224., 224., 224., 231., 225., 223., 224., 224., 223.}"
18,18,"DynamicRouting/2/Net/capsule/s/1","DynamicRouting/2/Net/capsule/s/1",0,"DynamicRouting/2/Net/capsule/s/1","Replicate","Replicate","Replicate",5361.,5396.8667000000005,5415.,"{5390., 5404., 5389., 5374., 5361., 5386., 5390., 5402., 5396., 5392., 5403., 5390., 5402., 5390., 5396., 5397., 5395., 5391., 5402., 5391., 5396., 5405., 5391., 5397., 5400., 5374., 5391., 5404., 5391., 5400., 5398., 5404., 5409., 5402., 5396., 5415., 5403., 5393., 5404., 5394., 5396., 5406., 5402., 5390., 5406., 5401., 5390., 5405., 5394., 5404.}"
19,19,"DynamicRouting/2/Net/capsule/s/2","DynamicRouting/2/Net/capsule/s/2",0,"DynamicRouting/2/Net/capsule/s/2","Threading","Threading","Threading",101.,102.36670000000001,115.,"{115., 103., 102., 104., 102., 102., 102., 102., 110., 102., 103., 103., 102., 103., 102., 103., 102., 103., 102., 103., 102., 102., 103., 102., 110., 102., 101., 102., 102., 103., 102., 102., 103., 102., 103., 102., 103., 102., 102., 103., 102., 102., 103., 102., 102., 103., 102., 103., 102., 103.}"
20,20,"DynamicRouting/2/Net/capsule/s/3","DynamicRouting/2/Net/capsule/s/3",0,"DynamicRouting/2/Net/capsule/s/3","Aggregation","Aggregation","Aggregation",3470.,3490.8333000000002,3578.,"{3578., 3517., 3492., 3498., 3489., 3480., 3495., 3487., 3486., 3494., 3487., 3496., 3490., 3483., 3493., 3490., 3487., 3493., 3501., 3489., 3494., 3483., 3486., 3501., 3485., 3480., 3495., 3501., 3486., 3489., 3485., 3494., 3511., 3498., 3498., 3493., 3482., 3482., 3490., 3487., 3493., 3490., 3480., 3497., 3479., 3470., 3498., 3491., 3492., 3495.}"
21,21,"DynamicRouting/2/Net/capsule/v/1","DynamicRouting/2/Net/capsule/v/1",0,"DynamicRouting/2/Net/capsule/v/1","Elementwise","Elementwise","Elementwise",19.,22.7333,34.,"{34., 21., 29., 33., 21., 28., 22., 26., 20., 19., 27., 28., 20., 19., 21., 21., 28., 21., 21., 21., 21., 21., 21., 20., 27., 20., 28., 20., 20., 27., 21., 27., 27., 21., 21., 21., 28., 20., 27., 27., 21., 21., 20., 21., 27., 28., 26., 21., 20., 21.}"
22,22,"DynamicRouting/2/Net/capsule/v/2","DynamicRouting/2/Net/capsule/v/2",0,"DynamicRouting/2/Net/capsule/v/2","Aggregation","Aggregation","Aggregation",29.,29.6,40.,"{38., 31., 30., 30., 29., 30., 30., 29., 29., 30., 30., 30., 29., 29., 30., 29., 29., 29., 40., 31., 29., 29., 30., 30., 29., 30., 29., 30., 30., 29., 30., 30., 29., 30., 29., 30., 29., 30., 29., 30., 29., 29., 30., 29., 30., 29., 30., 30., 29., 30.}"
23,23,"DynamicRouting/2/Net/capsule/v/3","DynamicRouting/2/Net/capsule/v/3",0,"DynamicRouting/2/Net/capsule/v/3","Elementwise","Elementwise","Elementwise",27.,27.0667,39.,"{39., 29., 28., 27., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 27., 28., 27., 27., 27., 28., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 27., 27., 28., 27., 27., 28., 27., 27., 28., 27., 27., 28., 27., 27., 28., 27., 27., 27.}"
24,24,"DynamicRouting/2/Net/capsule/v/4","DynamicRouting/2/Net/capsule/v/4",0,"DynamicRouting/2/Net/capsule/v/4","Replicate","Replicate","Replicate",31.,31.133300000000002,43.,"{40., 32., 31., 31., 32., 32., 31., 31., 32., 31., 31., 31., 43., 32., 31., 31., 31., 31., 31., 31., 31., 31., 31., 31., 32., 31., 31., 31., 31., 31., 32., 31., 31., 31., 31., 32., 31., 31., 32., 31., 31., 32., 31., 31., 31., 32., 31., 31., 32., 31.}"
