"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,1,"1/conv1","1/conv1",0,"1/conv1","Convolution","Convolution","Convolution",732.,775.3333,893.,"{839., 794., 769., 772., 753., 868., 872., 761., 756., 775., 783., 775., 764., 759., 784., 789., 795., 835., 852., 834., 775., 771., 781., 777., 769., 780., 783., 767., 772., 765., 893., 829., 764., 762., 779., 775., 755., 764., 781., 775., 770., 771., 804., 881., 774., 766., 732., 764., 765., 753.}"
2,2,"1/conv1_bn","1/conv1_bn",0,"1/conv1_bn","BatchNormalization","BatchNormalization","BatchNormalization",360.,365.0333,399.,"{399., 364., 362., 361., 376., 387., 364., 362., 361., 360., 362., 361., 360., 361., 360., 376., 367., 364., 365., 365., 365., 365., 364., 364., 366., 378., 370., 365., 365., 365., 365., 374., 367., 365., 365., 365., 379., 365., 366., 365., 365., 365., 366., 365., 366., 365., 365., 378., 365., 365.}"
3,3,"1/relu1","1/relu1",0,"1/relu1","Elementwise","Elementwise","Elementwise",491.,835.6333000000001,865.,"{865., 850., 834., 832., 831., 831., 857., 832., 830., 832., 862., 833., 831., 830., 832., 847., 833., 831., 839., 830., 845., 832., 830., 830., 830., 841., 831., 830., 831., 843., 845., 839., 837., 837., 852., 837., 837., 837., 837., 850., 838., 845., 838., 849., 837., 837., 838., 837., 742., 491.}"
4,4,"2_1/1/conv2_1_dwise","2_1/1/conv2_1_dwise",0,"2_1/1/conv2_1_dwise","Convolution","Convolution","Convolution",4908.,4971.3,9362.,"{5167., 5092., 5050., 5041., 5024., 5007., 5001., 4961., 4999., 4950., 4997., 4952., 4948., 4973., 4969., 4933., 4991., 4925., 4969., 4910., 4961., 4923., 4956., 4935., 4956., 4947., 4969., 4928., 4966., 4935., 4959., 9362., 9232., 9190., 6967., 4996., 4942., 4979., 4928., 5004., 4960., 4983., 4918., 4992., 4951., 4988., 4940., 4984., 4908., 4996.}"
5,5,"2_1/1/conv2_1_dwise_bn","2_1/1/conv2_1_dwise_bn",0,"2_1/1/conv2_1_dwise_bn","BatchNormalization","BatchNormalization","BatchNormalization",245.,246.60000000000002,293.,"{293., 249., 248., 247., 247., 247., 246., 246., 246., 246., 248., 246., 247., 247., 246., 260., 247., 246., 246., 247., 255., 245., 246., 245., 255., 246., 254., 247., 246., 246., 246., 248., 246., 246., 246., 246., 246., 247., 246., 246., 247., 246., 247., 247., 246., 247., 262., 248., 247., 248.}"
6,6,"2_1/1/relu2_1_dwise","2_1/1/relu2_1_dwise",0,"2_1/1/relu2_1_dwise","Elementwise","Elementwise","Elementwise",462.,468.5,496.,"{496., 473., 469., 469., 468., 468., 467., 491., 470., 468., 468., 478., 476., 468., 468., 486., 468., 485., 471., 467., 468., 467., 468., 466., 481., 468., 468., 468., 467., 467., 467., 467., 490., 467., 467., 466., 468., 468., 467., 468., 485., 469., 470., 469., 470., 470., 467., 462., 477., 462.}"
7,7,"2_1/2/conv2_1_linear","2_1/2/conv2_1_linear",0,"2_1/2/conv2_1_linear","Convolution","Convolution","Convolution",287.,297.5667,363.,"{363., 298., 301., 312., 299., 300., 300., 305., 299., 293., 298., 300., 295., 297., 301., 298., 303., 297., 298., 293., 295., 299., 300., 305., 330., 320., 330., 310., 295., 309., 296., 297., 299., 297., 297., 294., 294., 291., 294., 294., 293., 291., 301., 295., 297., 293., 293., 296., 287., 293.}"
8,8,"2_1/2/conv2_1_linear_bn","2_1/2/conv2_1_linear_bn",0,"2_1/2/conv2_1_linear_bn","BatchNormalization","BatchNormalization","BatchNormalization",153.,155.1,183.,"{183., 156., 156., 157., 157., 156., 154., 155., 154., 155., 157., 154., 156., 154., 155., 157., 170., 182., 160., 159., 155., 155., 154., 155., 155., 155., 154., 154., 154., 156., 154., 154., 155., 153., 154., 155., 155., 153., 155., 154., 155., 167., 156., 155., 156., 154., 155., 156., 155., 155.}"
9,9,"2_2/1/conv2_2_expand","2_2/1/conv2_2_expand",0,"2_2/1/conv2_2_expand","Convolution","Convolution","Convolution",769.,871.0333,1350.,"{1283., 1259., 1258., 1225., 1251., 1231., 1350., 1236., 1225., 1233., 1236., 1213., 1257., 1229., 916., 839., 769., 785., 928., 810., 776., 778., 776., 792., 781., 778., 877., 885., 794., 779., 780., 777., 776., 789., 776., 774., 773., 775., 858., 908., 829., 783., 802., 788., 786., 787., 787., 803., 790., 785.}"
10,10,"2_2/1/conv2_2_expand_bn","2_2/1/conv2_2_expand_bn",0,"2_2/1/conv2_2_expand_bn","BatchNormalization","BatchNormalization","BatchNormalization",685.,701.8667,1028.,"{1028., 958., 849., 730., 711., 710., 706., 726., 709., 708., 716., 710., 727., 718., 710., 706., 713., 710., 712., 692., 708., 698., 693., 701., 697., 690., 685., 699., 689., 703., 696., 694., 696., 689., 691., 705., 691., 691., 702., 689., 714., 704., 692., 703., 694., 691., 703., 687., 689., 693.}"
