"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,1,"1","1",0,"1","Convolution","Convolution","Convolution",58.,58.400000000000006,99.,"{80., 60., 58., 59., 58., 58., 58., 59., 60., 59., 59., 58., 58., 59., 59., 58., 58., 58., 58., 59., 58., 58., 59., 58., 58., 58., 59., 58., 58., 58., 58., 60., 59., 58., 58., 58., 59., 58., 58., 59., 58., 59., 59., 60., 59., 58., 59., 58., 58., 99.}"
2,2,"2","2",0,"2","Elementwise","Elementwise","Elementwise",26.,26.966700000000003,43.,"{43., 30., 28., 27., 27., 27., 27., 28., 27., 40., 27., 27., 35., 27., 27., 26., 27., 26., 27., 27., 26., 26., 27., 27., 26., 27., 27., 26., 26., 26., 26., 27., 40., 28., 27., 27., 27., 27., 27., 27., 26., 27., 27., 27., 27., 27., 26., 27., 27., 27.}"
3,3,"3","3",0,"3","Pooling","Pooling","Pooling",41.,42.,54.,"{54., 44., 43., 42., 42., 42., 43., 42., 42., 42., 43., 42., 42., 42., 42., 42., 42., 42., 42., 42., 41., 42., 42., 42., 42., 42., 41., 41., 42., 42., 43., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 41., 42., 42., 42., 42., 42.}"
4,4,"4","4",0,"4","Convolution","Convolution","Convolution",104.,110.06670000000001,151.,"{151., 107., 106., 105., 106., 104., 106., 104., 104., 105., 105., 104., 105., 106., 106., 105., 104., 113., 105., 105., 105., 105., 105., 106., 104., 105., 105., 104., 106., 105., 104., 104., 105., 122., 123., 122., 124., 123., 122., 122., 122., 122., 122., 122., 121., 122., 124., 122., 122., 123.}"
5,5,"5","5",0,"5","Elementwise","Elementwise","Elementwise",27.,28.,39.,"{39., 30., 29., 28., 28., 28., 27., 28., 27., 28., 27., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28., 27., 28., 28., 28., 29., 27., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28.}"
6,6,"6","6",0,"6","Pooling","Pooling","Pooling",38.,39.033300000000004,54.,"{54., 40., 40., 39., 39., 39., 40., 39., 39., 39., 39., 38., 38., 39., 39., 39., 39., 39., 39., 39., 39., 40., 39., 40., 49., 40., 39., 38., 38., 38., 39., 39., 39., 39., 39., 39., 38., 39., 39., 38., 40., 39., 39., 39., 39., 38., 43., 42., 39., 39.}"
7,7,"7","7",0,"7","Flatten","Flatten","Flatten",30.,30.0667,40.,"{40., 32., 30., 31., 30., 30., 30., 30., 30., 30., 30., 30., 31., 30., 30., 30., 31., 30., 30., 30., 30., 31., 30., 30., 30., 30., 31., 30., 30., 31., 30., 30., 30., 30., 30., 31., 30., 30., 30., 30., 31., 30., 31., 30., 30., 31., 30., 30., 30., 30.}"
8,8,"8","8",0,"8","Linear","Linear","Linear",47.,49.800000000000004,85.,"{85., 50., 49., 49., 49., 49., 48., 48., 48., 48., 49., 49., 48., 48., 49., 47., 49., 48., 49., 49., 49., 47., 49., 49., 47., 48., 49., 48., 48., 48., 48., 57., 75., 51., 53., 52., 53., 53., 52., 52., 53., 53., 51., 52., 52., 54., 53., 52., 52., 52.}"
9,9,"9","9",0,"9","Elementwise","Elementwise","Elementwise",30.,30.133300000000002,41.,"{41., 31., 31., 30., 30., 30., 30., 30., 30., 30., 30., 30., 31., 30., 30., 30., 31., 30., 31., 31., 32., 33., 31., 39., 31., 30., 30., 30., 30., 30., 30., 30., 30., 31., 30., 30., 30., 31., 30., 30., 30., 30., 30., 30., 30., 30., 30., 30., 30., 30.}"
10,10,"10","10",0,"10","Linear","Linear","Linear",31.,33.2,48.,"{42., 34., 33., 32., 32., 33., 32., 32., 32., 32., 32., 31., 32., 32., 32., 32., 38., 48., 34., 33., 33., 33., 34., 39., 34., 35., 34., 34., 34., 34., 34., 34., 33., 33., 34., 34., 34., 34., 34., 34., 34., 34., 44., 32., 32., 32., 32., 32., 33., 32.}"
11,11,"11","11",0,"11","Softmax","Softmax","Softmax",29.,30.3667,40.,"{40., 32., 31., 31., 31., 30., 30., 30., 30., 31., 31., 30., 31., 30., 39., 31., 31., 31., 30., 30., 30., 31., 30., 30., 31., 30., 31., 30., 31., 30., 31., 30., 31., 30., 30., 31., 30., 30., 30., 30., 30., 30., 30., 29., 30., 31., 30., 31., 30., 30.}"
