"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","endLayer_path_time","raw_path_time"
1,4,"","","","","","","","","","",""
4,7,"","","","","","","","","","",""
7,10,"","","","","","","","","","",""
10,13,"","","","","","","","","","",""
13,16,"3a/convproj","3a/convdouble_3x3_reduce",3,"3a/convproj-3a/bnproj-3a/reluproj-3a/convdouble_3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
16,19,"3a/convdouble_3x3_reduce","3a/convdouble_3x3_0",3,"3a/convdouble_3x3_reduce-3a/bndouble_3x3_reduce-3a/reludouble_3x3_reduce-3a/convdouble_3x3_0","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
19,22,"","","","","","","","","","",""
22,25,"3a/convdouble_3x3_1","3a/conv3x3_reduce",3,"3a/convdouble_3x3_1-3a/bndouble_3x3_1-3a/reludouble_3x3_1-3a/conv3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
25,28,"3a/conv3x3_reduce","3a/conv3x3",3,"3a/conv3x3_reduce-3a/bn3x3_reduce-3a/relu3x3_reduce-3a/conv3x3","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
28,31,"3a/conv3x3","3a/conv1x1",3,"3a/conv3x3-3a/bn3x3-3a/relu3x3-3a/conv1x1","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
31,34,"3a/conv1x1","3a/ch_concatchconcat",3,"3a/conv1x1-3a/bn1x1-3a/relu1x1-3a/ch_concatchconcat","Convolution","Catenate","Convolution-BatchNormalization-Elementwise-Catenate","","","",""
34,37,"","","","","","","","","","",""
37,40,"3b/bnproj","3b/bndouble_3x3_reduce",3,"3b/bnproj-3b/reluproj-3b/convdouble_3x3_reduce-3b/bndouble_3x3_reduce","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
40,43,"","","","","","","","","","",""
43,46,"","","","","","","","","","",""
46,49,"3b/bndouble_3x3_1","3b/bn3x3_reduce",3,"3b/bndouble_3x3_1-3b/reludouble_3x3_1-3b/conv3x3_reduce-3b/bn3x3_reduce","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
49,52,"3b/bn3x3_reduce","3b/bn3x3",3,"3b/bn3x3_reduce-3b/relu3x3_reduce-3b/conv3x3-3b/bn3x3","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
52,55,"3b/bn3x3","3b/bn1x1",3,"3b/bn3x3-3b/relu3x3-3b/conv1x1-3b/bn1x1","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
55,58,"3b/bn1x1","3c/max_poolpool",3,"3b/bn1x1-3b/relu1x1-3b/ch_concatchconcat-3c/max_poolpool","BatchNormalization","Pooling","BatchNormalization-Elementwise-Catenate-Pooling","","","",""
58,61,"3c/max_poolpool","3c/reludouble_3x3_reduce",3,"3c/max_poolpool-3c/convdouble_3x3_reduce-3c/bndouble_3x3_reduce-3c/reludouble_3x3_reduce","Pooling","Elementwise","Pooling-Convolution-BatchNormalization-Elementwise","","","",""
