"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","endLayer_path_time","raw_path_time"
1,4,"","","","","","","","","","",""
4,7,"","","","","","","","","","",""
7,10,"stage0_block0/bn_branch2a","stage0_block0/bn_branch2b",3,"stage0_block0/bn_branch2a-stage0_block0/relu_branch2a-stage0_block0/conv_branch2b-stage0_block0/bn_branch2b","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
10,13,"","","","","","","","","","",""
13,16,"stage0_block0/bn_branch2c","stage0_block0/eltwise_stage0_block0",3,"stage0_block0/bn_branch2c-stage0_block0/conv_proj_shortcut-stage0_block0/bn_proj_shortcut-stage0_block0/eltwise_stage0_block0","BatchNormalization","Total","BatchNormalization-Convolution-BatchNormalization-Total","","","",""
16,19,"","","","","","","","","","",""
19,22,"","","","","","","","","","",""
22,25,"","","","","","","","","","",""
25,28,"stage0_block1/bn_branch2c","stage0_block2/conv_branch2a",3,"stage0_block1/bn_branch2c-stage0_block1/eltwise_stage0_block1-stage0_block1/relu_stage0_block1-stage0_block2/conv_branch2a","BatchNormalization","Convolution","BatchNormalization-Total-Elementwise-Convolution","","","",""
28,31,"","","","","","","","","","",""
31,34,"","","","","","","","","","",""
34,37,"stage0_block2/conv_branch2c","stage0_block2/relu_stage0_block2",3,"stage0_block2/conv_branch2c-stage0_block2/bn_branch2c-stage0_block2/eltwise_stage0_block2-stage0_block2/relu_stage0_block2","Convolution","Elementwise","Convolution-BatchNormalization-Total-Elementwise","","","",""
37,40,"","","","","","","","","","",""
40,43,"stage1_block0/relu_branch2a","stage1_block0/relu_branch2b",3,"stage1_block0/relu_branch2a-stage1_block0/conv_branch2b-stage1_block0/bn_branch2b-stage1_block0/relu_branch2b","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
43,46,"stage1_block0/relu_branch2b","stage1_block0/conv_proj_shortcut",3,"stage1_block0/relu_branch2b-stage1_block0/conv_branch2c-stage1_block0/bn_branch2c-stage1_block0/conv_proj_shortcut","Elementwise","Convolution","Elementwise-Convolution-BatchNormalization-Convolution","","","",""
46,49,"stage1_block0/conv_proj_shortcut","stage1_block0/relu_stage1_block0",3,"stage1_block0/conv_proj_shortcut-stage1_block0/bn_proj_shortcut-stage1_block0/eltwise_stage1_block0-stage1_block0/relu_stage1_block0","Convolution","Elementwise","Convolution-BatchNormalization-Total-Elementwise","","","",""
49,52,"","","","","","","","","","",""
52,55,"","","","","","","","","","",""
55,58,"stage1_block1/relu_branch2b","stage1_block1/eltwise_stage1_block1",3,"stage1_block1/relu_branch2b-stage1_block1/conv_branch2c-stage1_block1/bn_branch2c-stage1_block1/eltwise_stage1_block1","Elementwise","Total","Elementwise-Convolution-BatchNormalization-Total","","","",""
58,61,"","","","","","","","","","",""
61,64,"","","","","","","","","","",""
64,67,"","","","","","","","","","",""
67,70,"stage1_block2/bn_branch2c","stage1_block3/conv_branch2a",3,"stage1_block2/bn_branch2c-stage1_block2/eltwise_stage1_block2-stage1_block2/relu_stage1_block2-stage1_block3/conv_branch2a","BatchNormalization","Convolution","BatchNormalization-Total-Elementwise-Convolution","","","",""
70,73,"","","","","","","","","","",""
73,76,"","","","","","","","","","",""
