"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","endLayer_path_time","raw_path_time"
1,4,"","","","","","","","","","",""
4,7,"","","","","","","","","","",""
7,10,"","","","","","","","","","",""
10,13,"","","","","","","","","","",""
13,16,"","","","","","","","","","",""
16,19,"","","","","","","","","","",""
19,22,"","","","","","","","","","",""
22,25,"3_1/2/relu3_1_dwise","3_1/4",3,"3_1/2/relu3_1_dwise-3_1/3/conv3_1_linear-3_1/3/conv3_1_linear_bn-3_1/4","Elementwise","Threading","Elementwise-Convolution-BatchNormalization-Threading","","","",""
25,28,"","","","","","","","","","",""
28,31,"","","","","","","","","","",""
31,34,"","","","","","","","","","",""
34,37,"","","","","","","","","","",""
37,40,"","","","","","","","","","",""
40,43,"4_1/3/conv4_1_linear","4_2/1/conv4_2_expand",3,"4_1/3/conv4_1_linear-4_1/3/conv4_1_linear_bn-4_1/4-4_2/1/conv4_2_expand","Convolution","Convolution","Convolution-BatchNormalization-Threading-Convolution","","","",""
43,46,"","","","","","","","","","",""
46,49,"","","","","","","","","","",""
49,52,"4_2/3/conv4_2_linear","4_3/1/conv4_3_expand",3,"4_2/3/conv4_2_linear-4_2/3/conv4_2_linear_bn-4_2/4-4_3/1/conv4_3_expand","Convolution","Convolution","Convolution-BatchNormalization-Threading-Convolution","","","",""
52,55,"","","","","","","","","","",""
55,58,"","","","","","","","","","",""
58,61,"","","","","","","","","","",""
61,64,"","","","","","","","","","",""
64,67,"","","","","","","","","","",""
67,70,"4_4/3/conv4_4_linear_bn","4_5/1/conv4_5_expand_bn",3,"4_4/3/conv4_4_linear_bn-4_4/4-4_5/1/conv4_5_expand-4_5/1/conv4_5_expand_bn","BatchNormalization","BatchNormalization","BatchNormalization-Threading-Convolution-BatchNormalization","","","",""
70,73,"","","","","","","","","","",""
73,76,"","","","","","","","","","",""
76,79,"4_5/3/conv4_5_linear_bn","4_6/1/conv4_6_expand_bn",3,"4_5/3/conv4_5_linear_bn-4_5/4-4_6/1/conv4_6_expand-4_6/1/conv4_6_expand_bn","BatchNormalization","BatchNormalization","BatchNormalization-Threading-Convolution-BatchNormalization","","","",""
79,82,"","","","","","","","","","",""
82,85,"","","","","","","","","","",""
85,88,"4_6/3/conv4_6_linear_bn","4_7/1/conv4_7_expand_bn",3,"4_6/3/conv4_6_linear_bn-4_6/4-4_7/1/conv4_7_expand-4_7/1/conv4_7_expand_bn","BatchNormalization","BatchNormalization","BatchNormalization-Threading-Convolution-BatchNormalization","","","",""
88,91,"","","","","","","","","","",""
91,94,"","","","","","","","","","",""
94,97,"","","","","","","","","","",""
97,100,"","","","","","","","","","",""
100,103,"5_1/2/relu5_1_dwise","5_1/4",3,"5_1/2/relu5_1_dwise-5_1/3/conv5_1_linear-5_1/3/conv5_1_linear_bn-5_1/4","Elementwise","Threading","Elementwise-Convolution-BatchNormalization-Threading","","","",""
103,106,"","","","","","","","","","",""
106,109,"","","","","","","","","","",""
109,112,"5_2/2/relu5_2_dwise","5_2/4",3,"5_2/2/relu5_2_dwise-5_2/3/conv5_2_linear-5_2/3/conv5_2_linear_bn-5_2/4","Elementwise","Threading","Elementwise-Convolution-BatchNormalization-Threading","","","",""
112,115,"","","","","","","","","","",""
115,118,"","","","","","","","","","",""
118,121,"","","","","","","","","","",""
121,124,"","","","","","","","","","",""
124,127,"","","","","","","","","","",""
127,130,"6_1/3/conv6_1_linear","6_2/1/conv6_2_expand",3,"6_1/3/conv6_1_linear-6_1/3/conv6_1_linear_bn-6_1/4-6_2/1/conv6_2_expand","Convolution","Convolution","Convolution-BatchNormalization-Threading-Convolution","","","",""
130,133,"","","","","","","","","","",""
133,136,"","","","","","","","","","",""
136,139,"6_2/3/conv6_2_linear","6_3/1/conv6_3_expand",3,"6_2/3/conv6_2_linear-6_2/3/conv6_2_linear_bn-6_2/4-6_3/1/conv6_3_expand","Convolution","Convolution","Convolution-BatchNormalization-Threading-Convolution","","","",""
139,142,"","","","","","","","","","",""
142,145,"","","","","","","","","","",""
145,148,"","","","","","","","","","",""
148,151,"","","","","","","","","","",""
151,153,"","","","","","","","","","",""
