"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","endLayer_path_time","raw_path_time"
1,4,"","","","","","","","","","",""
4,7,"","","","","","","","","","",""
7,10,"fire2/relu_expand3x3","fire2/concat",3,"fire2/relu_expand3x3-fire2/expand1x1-fire2/relu_expand1x1-fire2/concat","Elementwise","Catenate","Elementwise-Convolution-Elementwise-Catenate","","","",""
10,13,"","","","","","","","","","",""
13,16,"fire3/expand3x3","fire3/relu_expand1x1",3,"fire3/expand3x3-fire3/relu_expand3x3-fire3/expand1x1-fire3/relu_expand1x1","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise","","","",""
16,19,"fire3/relu_expand1x1","pool3",3,"fire3/relu_expand1x1-fire3/concat-pool3_pad-pool3","Elementwise","Pooling","Elementwise-Catenate-Padding-Pooling","","","",""
19,22,"","","","","","","","","","",""
22,25,"fire4/expand3x3","fire4/relu_expand1x1",3,"fire4/expand3x3-fire4/relu_expand3x3-fire4/expand1x1-fire4/relu_expand1x1","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise","","","",""
25,28,"fire4/relu_expand1x1","fire5/relu_squeeze1x1",3,"fire4/relu_expand1x1-fire4/concat-fire5/squeeze1x1-fire5/relu_squeeze1x1","Elementwise","Elementwise","Elementwise-Catenate-Convolution-Elementwise","","","",""
28,31,"fire5/relu_squeeze1x1","fire5/expand1x1",3,"fire5/relu_squeeze1x1-fire5/expand3x3-fire5/relu_expand3x3-fire5/expand1x1","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution","","","",""
31,34,"fire5/expand1x1","pool5_pad",3,"fire5/expand1x1-fire5/relu_expand1x1-fire5/concat-pool5_pad","Convolution","Padding","Convolution-Elementwise-Catenate-Padding","","","",""
34,37,"","","","","","","","","","",""
37,40,"fire6/relu_squeeze1x1","fire6/expand1x1",3,"fire6/relu_squeeze1x1-fire6/expand3x3-fire6/relu_expand3x3-fire6/expand1x1","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution","","","",""
40,43,"fire6/expand1x1","fire7/squeeze1x1",3,"fire6/expand1x1-fire6/relu_expand1x1-fire6/concat-fire7/squeeze1x1","Convolution","Convolution","Convolution-Elementwise-Catenate-Convolution","","","",""
43,46,"","","","","","","","","","",""
46,49,"fire7/relu_expand3x3","fire7/concat",3,"fire7/relu_expand3x3-fire7/expand1x1-fire7/relu_expand1x1-fire7/concat","Elementwise","Catenate","Elementwise-Convolution-Elementwise-Catenate","","","",""
49,52,"","","","","","","","","","",""
52,55,"fire8/expand3x3","fire8/relu_expand1x1",3,"fire8/expand3x3-fire8/relu_expand3x3-fire8/expand1x1-fire8/relu_expand1x1","Convolution","Elementwise","Convolution-Elementwise-Convolution-Elementwise","","","",""
55,58,"fire8/relu_expand1x1","fire9/relu_squeeze1x1",3,"fire8/relu_expand1x1-fire8/concat-fire9/squeeze1x1-fire9/relu_squeeze1x1","Elementwise","Elementwise","Elementwise-Catenate-Convolution-Elementwise","","","",""
58,61,"fire9/relu_squeeze1x1","fire9/expand1x1",3,"fire9/relu_squeeze1x1-fire9/expand3x3-fire9/relu_expand3x3-fire9/expand1x1","Elementwise","Convolution","Elementwise-Convolution-Elementwise-Convolution","","","",""
61,64,"fire9/expand1x1","drop9",3,"fire9/expand1x1-fire9/relu_expand1x1-fire9/concat-drop9","Convolution","Dropout","Convolution-Elementwise-Catenate-Dropout","","","",""
64,67,"","","","","","","","","","",""
67,69,"","","","","","","","","","",""
