"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","endLayer_path_time","raw_path_time"
1,4,"","","","","","","","","","",""
4,7,"","","","","","","","","","",""
7,10,"PrimaryCaps/4/2","PrimaryCaps/4/5",3,"PrimaryCaps/4/2-PrimaryCaps/4/3-PrimaryCaps/4/4-PrimaryCaps/4/5","Aggregation","Threading","Aggregation-Elementwise-Replicate-Threading","","","",""
10,13,"PrimaryCaps/4/5","PrimaryPredVects/2",3,"PrimaryCaps/4/5-PrimaryPredVects/1--PrimaryPredVects/2","Threading","ConstantArray","Threading-Replicate-Missing-ConstantArray","","","",""
13,16,"PrimaryPredVects/2","DynamicRouting/1",3,"PrimaryPredVects/2-PrimaryPredVects/3-PrimaryPredVects/4-DynamicRouting/1","ConstantArray","Replicate","ConstantArray-Threading-Aggregation-Replicate","","","",""
16,19,"DynamicRouting/1","DynamicRouting/2/Net/capsule/s/1",3,"DynamicRouting/1-DynamicRouting/2/Net/capsule/c/1-DynamicRouting/2/Net/capsule/c/2-DynamicRouting/2/Net/capsule/s/1","Replicate","Replicate","Replicate-Reshape-Softmax-Replicate","","","",""
19,22,"DynamicRouting/2/Net/capsule/s/1","DynamicRouting/2/Net/capsule/v/1",3,"DynamicRouting/2/Net/capsule/s/1-DynamicRouting/2/Net/capsule/s/2-DynamicRouting/2/Net/capsule/s/3-DynamicRouting/2/Net/capsule/v/1","Replicate","Elementwise","Replicate-Threading-Aggregation-Elementwise","","","",""
22,25,"","","","","","","","","","",""
25,28,"DynamicRouting/2/Net/capsule/v/4","DynamicRouting/2/Net/dots/2",3,"DynamicRouting/2/Net/capsule/v/4-DynamicRouting/2/Net/capsule/v/5-DynamicRouting/2/Net/dots/1-DynamicRouting/2/Net/dots/2","Replicate","Threading","Replicate-Threading-Replicate-Threading","","","",""
28,31,"DynamicRouting/2/Net/dots/2","DynamicRouting/2/Net/new_b",3,"DynamicRouting/2/Net/dots/2-DynamicRouting/2/Net/dots/3-DynamicRouting/2/Net/dots_flatten-DynamicRouting/2/Net/new_b","Threading","Threading","Threading-Aggregation-Flatten-Threading","","","",""
31,34,"DynamicRouting/2/Net/new_b","DigitCaps/c/2",3,"DynamicRouting/2/Net/new_b-DynamicRouting/3-DigitCaps/c/1-DigitCaps/c/2","Threading","Softmax","Threading-SequenceLast-Reshape-Softmax","","","",""
34,37,"DigitCaps/c/2","DigitCaps/s/3",3,"DigitCaps/c/2-DigitCaps/s/1-DigitCaps/s/2-DigitCaps/s/3","Softmax","Aggregation","Softmax-Replicate-Threading-Aggregation","","","",""
37,40,"DigitCaps/s/3","DigitCaps/v/3",3,"DigitCaps/s/3-DigitCaps/v/1-DigitCaps/v/2-DigitCaps/v/3","Aggregation","Elementwise","Aggregation-Elementwise-Aggregation-Elementwise","","","",""
40,43,"DigitCaps/v/3","Norm/1",3,"DigitCaps/v/3-DigitCaps/v/4-DigitCaps/v/5-Norm/1","Elementwise","Elementwise","Elementwise-Replicate-Threading-Elementwise","","","",""
43,46,"","","","","","","","","","",""
46,49,"Pick/1","Reconstruct/2",3,"Pick/1-Pick/2-Reconstruct/1-Reconstruct/2","Ordering","Elementwise","Ordering-Extract-Linear-Elementwise","","","",""
49,52,"","","","","","","","","","",""
52,53,"Reconstruct/5","Reconstruct/6",3,"Reconstruct/5-Reconstruct/6","Linear","Elementwise","Linear-Elementwise","","","",""
