"start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,1,0,50,"ReLUConv1/1","ReLUConv1/1","ReLUConv1/1","Convolution","Convolution","Convolution",146.,147.9333,210.,"{210., 154., 151., 149., 149., 147., 147., 148., 149., 147., 147., 148., 148., 147., 147., 146., 148., 147., 147., 163., 149., 148., 148., 147., 147., 146., 148., 147., 147., 146., 147., 147., 146., 148., 147., 148., 146., 147., 146., 146., 147., 146., 155., 190., 162., 181., 164., 162., 163., 160.}"
2,2,0,50,"ReLUConv1/2","ReLUConv1/2","ReLUConv1/2","Elementwise","Elementwise","Elementwise",54.,54.7667,77.,"{77., 59., 56., 55., 55., 55., 54., 55., 55., 55., 56., 55., 54., 55., 54., 55., 55., 54., 55., 54., 54., 55., 55., 55., 55., 54., 55., 54., 55., 55., 54., 55., 55., 54., 54., 55., 54., 54., 54., 55., 55., 55., 54., 54., 55., 55., 54., 64., 56., 55.}"
3,3,0,50,"PrimaryCaps/1","PrimaryCaps/1","PrimaryCaps/1","Convolution","Convolution","Convolution",2038.,2075.4,2230.,"{2160., 2204., 2135., 2050., 2072., 2046., 2205., 2042., 2062., 2053., 2053., 2176., 2073., 2053., 2060., 2093., 2138., 2064., 2063., 2060., 2160., 2111., 2045., 2065., 2038., 2229., 2049., 2060., 2051., 2078., 2174., 2070., 2042., 2068., 2101., 2133., 2060., 2043., 2070., 2152., 2122., 2042., 2067., 2046., 2230., 2042., 2064., 2051., 2062., 2204.}"
4,4,0,50,"PrimaryCaps/2","PrimaryCaps/2","PrimaryCaps/2","Transpose","Transpose","Transpose",99.,100.,113.,"{113., 102., 100., 100., 100., 107., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 112., 101., 100., 100., 100., 100., 101., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 100., 99., 100., 100., 100.}"
5,5,0,50,"PrimaryCaps/3","PrimaryCaps/3","PrimaryCaps/3","Reshape","Reshape","Reshape",19.,20.,39.,"{39., 22., 21., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 19., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 19., 21., 29., 20., 20., 20., 19., 20., 20., 19., 20., 19., 20., 20., 20., 20., 19., 20., 20., 19.}"
6,6,0,50,"PrimaryCaps/4/1","PrimaryCaps/4/1","PrimaryCaps/4/1","Elementwise","Elementwise","Elementwise",26.,26.3,39.,"{39., 29., 27., 27., 27., 26., 27., 26., 26., 27., 26., 26., 26., 27., 26., 26., 26., 26., 26., 26., 27., 27., 26., 26., 26., 26., 27., 26., 26., 27., 26., 26., 27., 27., 26., 26., 26., 27., 26., 26., 26., 27., 27., 26., 26., 26., 27., 27., 26., 26.}"
7,7,0,50,"PrimaryCaps/4/2","PrimaryCaps/4/2","PrimaryCaps/4/2","Aggregation","Aggregation","Aggregation",210.,210.2333,225.,"{225., 213., 210., 211., 211., 217., 212., 210., 211., 222., 210., 210., 210., 211., 210., 210., 210., 216., 210., 210., 210., 210., 210., 210., 210., 211., 210., 210., 221., 210., 211., 210., 210., 210., 211., 210., 210., 211., 210., 210., 210., 210., 210., 210., 210., 210., 219., 211., 210., 210.}"
8,8,0,50,"PrimaryCaps/4/3","PrimaryCaps/4/3","PrimaryCaps/4/3","Elementwise","Elementwise","Elementwise",41.,42.,61.,"{61., 45., 43., 42., 42., 43., 42., 42., 42., 42., 43., 42., 42., 55., 43., 42., 42., 42., 43., 42., 42., 43., 42., 42., 42., 42., 42., 42., 43., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 42., 41., 42., 42., 42., 42., 42., 42., 41., 42.}"
9,9,0,50,"PrimaryCaps/4/4","PrimaryCaps/4/4","PrimaryCaps/4/4","Replicate","Replicate","Replicate",293.,293.1667,309.,"{309., 296., 294., 293., 294., 293., 293., 294., 293., 293., 293., 306., 293., 293., 294., 293., 293., 293., 293., 294., 293., 293., 293., 293., 293., 305., 293., 293., 293., 293., 300., 293., 293., 293., 293., 293., 294., 293., 302., 294., 293., 293., 294., 293., 293., 293., 293., 293., 294., 293.}"
10,10,0,50,"PrimaryCaps/4/5","PrimaryCaps/4/5","PrimaryCaps/4/5","Threading","Threading","Threading",26.,27.,40.,"{40., 29., 27., 27., 27., 27., 27., 27., 26., 27., 27., 27., 27., 27., 27., 27., 26., 27., 27., 26., 27., 27., 27., 26., 27., 27., 26., 27., 27., 27., 26., 27., 26., 27., 26., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 26., 27., 27., 27., 26.}"
