"start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,1,0,50,"conv1","conv1","conv1","Convolution","Convolution","Convolution",717.,737.8000000000001,907.,"{799., 768., 761., 743., 891., 812., 733., 747., 730., 726., 727., 728., 755., 727., 724., 724., 726., 907., 807., 720., 717., 722., 738., 744., 731., 731., 733., 728., 779., 737., 876., 824., 732., 761., 732., 731., 732., 728., 742., 750., 728., 730., 727., 847., 842., 727., 725., 727., 727., 753.}"
2,2,0,50,"relu_conv1","relu_conv1","relu_conv1","Elementwise","Elementwise","Elementwise",282.,287.8333,320.,"{320., 297., 290., 283., 283., 282., 298., 286., 284., 284., 285., 286., 284., 285., 285., 284., 284., 285., 284., 299., 289., 289., 288., 288., 287., 288., 289., 288., 288., 288., 288., 302., 289., 299., 289., 288., 288., 288., 287., 289., 288., 289., 289., 288., 288., 289., 298., 289., 289., 289.}"
3,3,0,50,"pool1","pool1","pool1","Pooling","Pooling","Pooling",1541.,1551.1000000000001,1630.,"{1630., 1558., 1542., 1585., 1543., 1541., 1573., 1542., 1565., 1555., 1613., 1558., 1545., 1555., 1544., 1545., 1576., 1546., 1545., 1553., 1545., 1557., 1552., 1545., 1559., 1547., 1557., 1545., 1545., 1567., 1546., 1556., 1545., 1546., 1558., 1553., 1546., 1554., 1546., 1559., 1545., 1553., 1553., 1545., 1559., 1545., 1546., 1555., 1554., 1559.}"
4,4,0,50,"fire2/squeeze1x1","fire2/squeeze1x1","fire2/squeeze1x1","Convolution","Convolution","Convolution",59.,60.566700000000004,122.,"{122., 67., 63., 62., 61., 61., 61., 61., 61., 61., 61., 60., 61., 62., 61., 77., 62., 61., 61., 61., 59., 60., 60., 61., 61., 60., 60., 59., 61., 61., 61., 59., 59., 60., 59., 61., 59., 59., 60., 59., 60., 61., 60., 59., 60., 60., 60., 60., 60., 61.}"
5,5,0,50,"fire2/relu_squeeze1x1","fire2/relu_squeeze1x1","fire2/relu_squeeze1x1","Elementwise","Elementwise","Elementwise",36.,37.,53.,"{53., 41., 38., 38., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 38., 37., 38., 51., 38., 37., 37., 36., 37., 36., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 36., 37., 37., 37., 37., 36., 37., 37., 37., 37., 37., 37., 37., 37., 37., 36.}"
6,6,0,50,"fire2/expand1x1","fire2/expand1x1","fire2/expand1x1","Convolution","Convolution","Convolution",145.,147.7333,173.,"{173., 154., 151., 148., 149., 149., 149., 148., 149., 148., 148., 148., 147., 146., 147., 148., 148., 148., 154., 149., 148., 147., 148., 147., 146., 147., 147., 148., 147., 147., 148., 148., 146., 148., 147., 149., 149., 148., 148., 148., 147., 148., 147., 146., 154., 147., 146., 145., 147., 147.}"
7,7,0,50,"fire2/relu_expand1x1","fire2/relu_expand1x1","fire2/relu_expand1x1","Elementwise","Elementwise","Elementwise",92.,93.7,127.,"{127., 99., 95., 94., 95., 94., 94., 93., 94., 94., 94., 94., 94., 94., 94., 93., 94., 94., 93., 93., 94., 93., 93., 94., 94., 93., 93., 94., 94., 93., 94., 94., 93., 94., 94., 94., 93., 93., 94., 109., 94., 93., 93., 94., 94., 92., 93., 93., 92., 93.}"
8,8,0,50,"fire2/expand3x3","fire2/expand3x3","fire2/expand3x3","Convolution","Convolution","Convolution",536.,541.5667000000001,651.,"{651., 641., 591., 544., 542., 540., 541., 540., 557., 542., 539., 540., 540., 540., 540., 549., 541., 548., 588., 603., 583., 541., 547., 540., 538., 539., 539., 539., 538., 538., 551., 538., 536., 536., 537., 538., 599., 617., 565., 537., 538., 537., 536., 537., 553., 538., 538., 546., 538., 537.}"
9,9,0,50,"fire2/relu_expand3x3","fire2/relu_expand3x3","fire2/relu_expand3x3","Elementwise","Elementwise","Elementwise",94.,96.2667,118.,"{118., 101., 98., 96., 96., 96., 96., 96., 94., 96., 96., 107., 98., 97., 96., 97., 96., 96., 96., 96., 96., 96., 96., 97., 97., 97., 96., 95., 97., 97., 95., 96., 95., 95., 95., 110., 97., 96., 96., 96., 97., 98., 96., 96., 96., 96., 97., 97., 95., 96.}"
10,10,0,50,"fire2/concat","fire2/concat","fire2/concat","Catenate","Catenate","Catenate",157.,158.3,177.,"{177., 162., 159., 158., 158., 158., 159., 158., 158., 158., 159., 159., 158., 158., 158., 159., 158., 172., 158., 159., 158., 157., 158., 158., 158., 158., 166., 158., 159., 158., 159., 159., 158., 158., 159., 158., 159., 159., 158., 158., 158., 170., 159., 157., 158., 159., 157., 158., 158., 158.}"
11,11,0,50,"fire3/squeeze1x1","fire3/squeeze1x1","fire3/squeeze1x1","Convolution","Convolution","Convolution",71.,72.2333,140.,"{140., 81., 75., 74., 73., 72., 72., 72., 72., 73., 72., 73., 73., 72., 72., 71., 71., 72., 72., 72., 71., 72., 71., 72., 72., 72., 72., 88., 74., 72., 72., 73., 72., 75., 71., 72., 72., 72., 73., 72., 72., 73., 73., 73., 72., 72., 73., 72., 72., 72.}"
12,12,0,50,"fire3/relu_squeeze1x1","fire3/relu_squeeze1x1","fire3/relu_squeeze1x1","Elementwise","Elementwise","Elementwise",37.,37.2667,54.,"{54., 41., 38., 38., 37., 37., 38., 38., 37., 38., 37., 38., 38., 37., 38., 37., 37., 37., 37., 38., 37., 38., 37., 37., 37., 37., 37., 37., 37., 37., 37., 38., 37., 38., 37., 37., 37., 38., 37., 37., 38., 37., 37., 38., 37., 37., 38., 37., 37., 37.}"
13,13,0,50,"fire3/expand1x1","fire3/expand1x1","fire3/expand1x1","Convolution","Convolution","Convolution",144.,146.0667,182.,"{182., 153., 150., 162., 148., 148., 148., 146., 146., 145., 148., 147., 147., 148., 147., 147., 146., 147., 146., 146., 147., 145., 146., 145., 146., 145., 146., 145., 145., 161., 145., 146., 147., 146., 145., 144., 145., 146., 145., 145., 146., 146., 145., 147., 145., 146., 145., 146., 144., 146.}"
14,14,0,50,"fire3/relu_expand1x1","fire3/relu_expand1x1","fire3/relu_expand1x1","Elementwise","Elementwise","Elementwise",94.,95.56670000000001,116.,"{116., 99., 97., 104., 97., 97., 96., 96., 96., 96., 95., 96., 95., 95., 96., 96., 95., 95., 95., 95., 96., 96., 96., 97., 95., 95., 95., 95., 94., 95., 95., 96., 95., 96., 96., 95., 95., 95., 96., 97., 96., 94., 105., 97., 95., 95., 96., 96., 95., 95.}"
15,15,0,50,"fire3/expand3x3","fire3/expand3x3","fire3/expand3x3","Convolution","Convolution","Convolution",537.,542.6333000000001,626.,"{607., 554., 542., 541., 540., 541., 558., 541., 538., 540., 540., 537., 569., 616., 599., 540., 537., 539., 537., 538., 553., 540., 539., 538., 537., 537., 537., 538., 567., 541., 574., 608., 606., 542., 541., 553., 541., 540., 540., 541., 540., 542., 554., 539., 538., 539., 539., 541., 577., 626.}"
16,16,0,50,"fire3/relu_expand3x3","fire3/relu_expand3x3","fire3/relu_expand3x3","Elementwise","Elementwise","Elementwise",95.,96.4667,117.,"{117., 101., 98., 98., 96., 97., 95., 98., 97., 110., 97., 97., 97., 96., 97., 98., 96., 96., 97., 96., 98., 96., 97., 98., 96., 97., 96., 97., 96., 95., 97., 96., 96., 96., 95., 95., 96., 96., 96., 97., 96., 95., 97., 96., 96., 96., 96., 97., 108., 96.}"
17,17,0,50,"fire3/concat","fire3/concat","fire3/concat","Catenate","Catenate","Catenate",156.,158.66670000000002,180.,"{180., 165., 161., 160., 162., 160., 162., 163., 160., 160., 161., 161., 162., 161., 160., 161., 175., 163., 161., 160., 158., 157., 158., 157., 157., 157., 157., 157., 157., 158., 158., 157., 157., 157., 158., 158., 157., 156., 157., 158., 168., 158., 157., 157., 157., 157., 157., 157., 157., 168.}"
18,18,0,50,"pool3_pad","pool3_pad","pool3_pad","Padding","Padding","Padding",454.,455.86670000000004,474.,"{474., 457., 465., 469., 456., 455., 455., 455., 454., 455., 455., 472., 456., 455., 455., 455., 456., 455., 455., 454., 470., 455., 455., 464., 455., 455., 454., 454., 454., 466., 455., 455., 455., 454., 455., 454., 454., 473., 458., 456., 457., 457., 457., 456., 456., 464., 468., 458., 458., 458.}"
19,19,0,50,"pool3","pool3","pool3","Pooling","Pooling","Pooling",804.,810.9667000000001,856.,"{856., 809., 846., 806., 804., 827., 806., 806., 805., 805., 820., 806., 805., 837., 813., 818., 806., 805., 806., 855., 810., 809., 810., 810., 820., 836., 814., 806., 806., 822., 809., 808., 840., 808., 817., 806., 805., 824., 818., 847., 811., 810., 810., 810., 819., 805., 806., 805., 805., 823.}"
20,20,0,50,"fire4/squeeze1x1","fire4/squeeze1x1","fire4/squeeze1x1","Convolution","Convolution","Convolution",49.,50.800000000000004,112.,"{112., 57., 50., 51., 50., 51., 67., 52., 51., 51., 49., 51., 52., 49., 51., 50., 52., 51., 51., 54., 51., 51., 51., 50., 50., 51., 49., 50., 50., 51., 52., 50., 51., 50., 51., 51., 49., 50., 51., 51., 51., 52., 52., 51., 50., 53., 51., 51., 50., 50.}"
21,21,0,50,"fire4/relu_squeeze1x1","fire4/relu_squeeze1x1","fire4/relu_squeeze1x1","Elementwise","Elementwise","Elementwise",30.,30.666700000000002,44.,"{44., 34., 31., 31., 31., 31., 31., 30., 31., 31., 30., 31., 30., 30., 31., 31., 31., 31., 30., 31., 30., 31., 31., 30., 30., 31., 31., 30., 31., 30., 31., 30., 30., 31., 30., 31., 31., 30., 30., 31., 31., 30., 30., 31., 31., 31., 30., 30., 31., 30.}"
