"start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
1,10,9,50,"1/conv1","2_2/1/conv2_2_expand_bn","1/conv1-1/conv1_bn-1/relu1-2_1/1/conv2_1_dwise-2_1/1/conv2_1_dwise_bn-2_1/1/relu2_1_dwise-2_1/2/conv2_1_linear-2_1/2/conv2_1_linear_bn-2_2/1/conv2_2_expand-2_2/1/conv2_2_expand_bn","Convolution","BatchNormalization","Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization",9209.,9295.033300000001,10459.,"{10459., 9372., 9249., 9259., 9223., 9343., 9270., 9264., 9303., 9332., 9249., 9263., 9264., 9423., 9379., 9388., 9368., 9257., 9296., 9280., 9308., 9318., 9209., 9264., 9263., 9243., 9238., 9280., 9365., 9405., 9361., 9316., 9245., 9221., 9338., 9353., 9284., 9264., 9221., 9328., 9247., 9245., 9307., 9344., 9307., 9429., 9333., 9271., 9298., 9295.}"
11,20,9,50,"2_2/1/relu2_2_expand","3_1/2/conv3_1_dwise","2_2/1/relu2_2_expand-2_2/2/conv2_2_dwise-2_2/2/conv2_2_dwise_bn-2_2/2/relu2_2_dwise-2_2/3/conv2_2_linear-2_2/3/conv2_2_linear_bn-3_1/1/conv3_1_expand-3_1/1/conv3_1_expand_bn-3_1/1/relu3_1_expand-3_1/2/conv3_1_dwise","Elementwise","Convolution","Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution-BatchNormalization-Elementwise-Convolution",14158.,14352.7667,15053.,"{15053., 14433., 14453., 14396., 14398., 14334., 14340., 14307., 14389., 14268., 14422., 14396., 14398., 14359., 14379., 14368., 14364., 14409., 14420., 14394., 14448., 14344., 14328., 14365., 14432., 14376., 14468., 14396., 14437., 14230., 14169., 14171., 14186., 14319., 14235., 14226., 14158., 14259., 14207., 14159., 14250., 14265., 14196., 14251., 14406., 14375., 14332., 14416., 14402., 14422.}"
21,21,0,50,"3_1/2/conv3_1_dwise_bn","3_1/2/conv3_1_dwise_bn","3_1/2/conv3_1_dwise_bn","BatchNormalization","BatchNormalization","BatchNormalization",229.,229.76670000000001,255.,"{255., 234., 230., 229., 230., 230., 230., 229., 230., 230., 229., 229., 230., 230., 230., 241., 230., 229., 230., 229., 229., 239., 231., 230., 229., 229., 229., 230., 230., 230., 229., 244., 231., 230., 229., 230., 230., 230., 229., 230., 229., 230., 229., 229., 230., 229., 230., 231., 245., 230.}"
22,22,0,50,"3_1/2/relu3_1_dwise","3_1/2/relu3_1_dwise","3_1/2/relu3_1_dwise","Elementwise","Elementwise","Elementwise",457.,460.7667,503.,"{503., 472., 468., 466., 466., 467., 460., 459., 475., 477., 460., 471., 459., 457., 458., 458., 458., 472., 474., 459., 458., 459., 458., 460., 457., 473., 458., 458., 458., 458., 458., 459., 459., 468., 471., 459., 460., 459., 459., 459., 469., 459., 476., 461., 459., 459., 459., 459., 459., 458.}"
23,23,0,50,"3_1/3/conv3_1_linear","3_1/3/conv3_1_linear","3_1/3/conv3_1_linear","Convolution","Convolution","Convolution",133.,134.8333,236.,"{236., 155., 150., 166., 152., 150., 148., 159., 134., 135., 135., 135., 135., 135., 134., 134., 135., 134., 135., 135., 134., 134., 133., 134., 135., 134., 135., 135., 135., 135., 146., 137., 135., 134., 135., 135., 135., 134., 134., 135., 134., 136., 135., 135., 134., 134., 135., 135., 135., 134.}"
24,24,0,50,"3_1/3/conv3_1_linear_bn","3_1/3/conv3_1_linear_bn","3_1/3/conv3_1_linear_bn","BatchNormalization","BatchNormalization","BatchNormalization",59.,59.566700000000004,85.,"{85., 66., 62., 60., 59., 60., 59., 70., 61., 61., 60., 60., 59., 60., 60., 59., 60., 60., 59., 60., 59., 59., 60., 60., 60., 60., 59., 59., 59., 59., 60., 60., 60., 59., 59., 60., 59., 59., 59., 60., 60., 60., 59., 59., 59., 59., 59., 60., 59., 59.}"
25,34,9,50,"3_1/4","4_1/1/conv4_1_expand","3_1/4-3_2/1/conv3_2_expand-3_2/1/conv3_2_expand_bn-3_2/1/relu3_2_expand-3_2/2/conv3_2_dwise-3_2/2/conv3_2_dwise_bn-3_2/2/relu3_2_dwise-3_2/3/conv3_2_linear-3_2/3/conv3_2_linear_bn-4_1/1/conv4_1_expand","Threading","Convolution","Threading-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Elementwise-Convolution-BatchNormalization-Convolution",3200.,3247.7667,3748.,"{3748., 3383., 3315., 3207., 3214., 3322., 3227., 3244., 3301., 3214., 3262., 3305., 3237., 3229., 3263., 3237., 3236., 3234., 3238., 3209., 3236., 3200., 3216., 3240., 3236., 3202., 3277., 3234., 3232., 3308., 3233., 3227., 3325., 3231., 3252., 3321., 3206., 3225., 3321., 3261., 3219., 3291., 3266., 3205., 3302., 3289., 3244., 3221., 3285., 3245.}"
35,35,0,50,"4_1/1/conv4_1_expand_bn","4_1/1/conv4_1_expand_bn","4_1/1/conv4_1_expand_bn","BatchNormalization","BatchNormalization","BatchNormalization",109.,109.7667,133.,"{133., 113., 112., 110., 110., 109., 109., 119., 110., 110., 109., 110., 110., 110., 109., 109., 110., 110., 110., 110., 110., 110., 109., 109., 110., 109., 110., 110., 123., 111., 109., 109., 110., 110., 110., 110., 110., 110., 109., 109., 109., 109., 110., 110., 110., 110., 109., 110., 109., 109.}"
36,36,0,50,"4_1/1/relu4_1_expand","4_1/1/relu4_1_expand","4_1/1/relu4_1_expand","Elementwise","Elementwise","Elementwise",189.,190.16670000000002,209.,"{209., 193., 191., 189., 190., 190., 190., 189., 191., 190., 190., 190., 190., 190., 190., 204., 191., 190., 191., 201., 190., 190., 190., 190., 190., 191., 191., 189., 190., 190., 190., 190., 190., 191., 190., 189., 190., 190., 190., 190., 201., 191., 189., 189., 190., 189., 189., 199., 190., 191.}"
37,37,0,50,"4_1/2/conv4_1_dwise","4_1/2/conv4_1_dwise","4_1/2/conv4_1_dwise","Convolution","Convolution","Convolution",1963.,1991.2,2376.,"{2376., 2345., 2037., 1999., 1963., 2028., 2018., 1982., 1967., 1979., 2017., 2040., 1966., 1981., 1966., 2028., 2016., 1982., 1966., 1978., 2016., 2040., 1966., 1976., 1966., 2028., 2014., 1975., 1966., 1980., 2016., 2032., 1966., 1978., 1967., 2073., 2008., 1977., 1967., 1977., 2016., 2018., 1967., 1974., 1964., 2030., 2006., 1978., 1968., 1978.}"
38,38,0,50,"4_1/2/conv4_1_dwise_bn","4_1/2/conv4_1_dwise_bn","4_1/2/conv4_1_dwise_bn","BatchNormalization","BatchNormalization","BatchNormalization",109.,110.,133.,"{133., 115., 111., 110., 110., 110., 110., 110., 110., 110., 126., 111., 110., 110., 109., 110., 110., 109., 110., 110., 110., 110., 110., 110., 110., 110., 110., 109., 110., 110., 110., 109., 109., 109., 111., 110., 109., 110., 109., 110., 110., 111., 109., 109., 124., 110., 110., 110., 110., 110.}"
